12,7,7
24,26,20
36,33,33
48,40,40
60,47,47
72,102,84
96,128,104
108,135,135
120,154,124
144,168,168
180,201,201
192,208,208
216,378,324
240,248,248
288,480,408
300,295,295
324,513,513
360,582,492
384,608,512
432,648,648
480,736,616
540,783,783
576,816,816
600,890,740
648,1350,1188
720,984,984
768,1024,1024
864,1728,1512
900,1185,1185
960,1232,1232
972,1863,1863
1080,2106,1836
1152,2208,1920
1200,1480,1480
1296,2376,2376
64,48,48
128,160,128
256,256,256
512,768,640
1024,1280,1280
2048,3584,3072
1536,2816,2432
